new,charcount,wordcount,sentencecount,number of standby,standby,roadblock,roadblock number,change in charcount,change in wordcount,change in sentencecount,chars produced,words produced,sentences produced,chars deleted,words deleted,sentences deleted,time (s),min time (s),5rSUMMARY wordcount,5rSUMMARY sentencecount,5rSUMMARY standby,5rSUMMARY number of standby,5rSUMMARY roadblock number,5rSUMMARY words produced,5rSUMMARY sentences produced,5rSUMMARY words deleted,5rSUMMARY sentences deleted,5rSUMMARY change in wordcount,5rSUMMARY change in sentencecount
False,972,157,5,11,False,False,1,15.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,330.80176424980164,330.80168414115906,87.36666666666666,3.566666666666667,0.1833333333333333,4.383333333333334,0.7833333333333333,156.0,5.0,0.0,0.0,156.0,5.0
False,989,161,5,11,False,False,1,17.0,4.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,336.08840703964233,336.08838510513306,90.0,3.65,0.1833333333333333,4.566666666666666,0.8,158.0,5.0,0.0,0.0,158.0,5.0
False,1023,168,5,11,False,False,1,34.0,7.0,0.0,34.0,7.0,0.0,0.0,0.0,0.0,341.3528959751129,341.3528640270233,92.65,3.733333333333333,0.1833333333333333,4.75,0.8166666666666667,159.0,5.0,0.0,0.0,159.0,5.0
False,1035,169,5,11,False,False,1,12.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,346.62595200538635,346.6259152889252,95.23333333333332,3.816666666666667,0.1833333333333333,4.933333333333334,0.8333333333333334,155.0,5.0,0.0,0.0,155.0,5.0
False,1053,171,5,11,False,False,1,18.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,351.930762052536,351.93071007728577,97.83333333333331,3.883333333333333,0.1833333333333333,5.116666666666666,0.85,156.0,4.0,0.0,0.0,156.0,4.0
False,1061,172,5,11,False,False,1,8.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,357.2430100440979,357.24296617507935,100.45,3.95,0.1833333333333333,5.3,0.8666666666666667,157.0,4.0,0.0,0.0,157.0,4.0
False,1079,175,5,11,False,False,1,18.0,3.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,362.5485272407532,362.5484292507172,103.01666666666668,4.016666666666667,0.1833333333333333,5.483333333333333,0.8833333333333333,154.0,4.0,0.0,0.0,154.0,4.0
False,1101,179,5,11,False,False,1,22.0,4.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,367.8250601291657,367.8250110149384,105.56666666666666,4.083333333333333,0.1833333333333333,5.666666666666667,0.9,153.0,4.0,0.0,0.0,153.0,4.0
False,1126,184,5,11,False,False,1,25.0,5.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,373.1015560626984,373.1015019416809,108.15,4.15,0.1833333333333333,5.85,0.9166666666666666,155.0,4.0,0.0,0.0,155.0,4.0
False,1150,186,5,11,False,False,1,24.0,2.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,378.3614962100983,378.3614621162415,110.68333333333334,4.216666666666667,0.1833333333333333,6.033333333333333,0.9333333333333332,152.0,4.0,0.0,0.0,152.0,4.0
False,1177,189,5,11,False,False,1,27.0,3.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,383.6557881832123,383.6557641029358,113.15,4.283333333333333,0.1833333333333333,6.216666666666667,0.95,148.0,4.0,0.0,0.0,148.0,4.0
False,1199,194,5,11,False,False,1,22.0,5.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0,388.9383101463318,388.9382381439209,115.66666666666669,4.333333333333333,0.1833333333333333,6.4,0.9666666666666668,151.0,3.0,0.0,0.0,151.0,3.0
False,1228,199,5,11,False,False,1,29.0,5.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,394.2434272766113,394.2433862686157,118.26666666666668,4.383333333333334,0.1833333333333333,6.583333333333333,0.9833333333333332,156.0,3.0,0.0,0.0,156.0,3.0
False,1266,205,5,11,False,False,1,38.0,6.0,0.0,38.0,6.0,0.0,0.0,0.0,0.0,399.5115120410919,399.5114672183991,120.96666666666668,4.433333333333334,0.1666666666666666,6.75,1.0,162.0,3.0,0.0,0.0,162.0,3.0
False,1299,210,5,11,False,False,1,33.0,5.0,0.0,33.0,5.0,0.0,0.0,0.0,0.0,404.7874319553375,404.78740406036377,123.7,4.483333333333333,0.1666666666666666,6.916666666666667,1.0,164.0,3.0,0.0,0.0,164.0,3.0
False,1329,214,5,11,False,False,1,30.0,4.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,410.06767416000366,410.0676312446594,126.45,4.533333333333333,0.1666666666666666,7.083333333333333,1.0,165.0,3.0,0.0,0.0,165.0,3.0
False,1323,213,5,11,False,False,1,-6.0,-1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,415.3298230171204,415.3297960758209,129.11666666666667,4.566666666666666,0.1666666666666666,7.25,1.0,161.0,2.0,1.0,0.0,160.0,2.0
